title,author,description,genres,average_rating,ratings_count,publication_year,language_code
The Great Gatsby,F. Scott Fitzgerald,A tragic story of Jay Gatsby and the American Dream.,Fiction;Classic,4.2,3800,1925,en
1984,George Orwell,A dystopian novel about surveillance and totalitarianism.,Fiction;Dystopian,4.5,5200,1949,en
To Kill a Mockingbird,Harper Lee,A novel about racial injustice in the Deep South.,Fiction;Classic,4.7,4100,1960,en
Pride and Prejudice,Jane Austen,A romantic novel of manners about Elizabeth Bennet and Mr. Darcy.,Fiction;Romance;Classic,4.4,3600,1813,en
The Hobbit,J.R.R. Tolkien,A fantasy adventure preceding The Lord of the Rings.,Fiction;Fantasy,4.6,4800,1937,en
Harry Potter and the Sorcerer's Stone,J.K. Rowling,The first year at Hogwarts for Harry Potter.,Fiction;Fantasy;Young Adult,4.8,8900,1997,en
The Catcher in the Rye,J.D. Salinger,A story of teenage rebellion and alienation.,Fiction;Coming of Age;Classic,3.8,2900,1951,en
Moby-Dick,Herman Melville,The epic quest of Captain Ahab to hunt the white whale.,Fiction;Adventure;Classic,3.7,1700,1851,en
War and Peace,Leo Tolstoy,A chronicle of Russian society during the Napoleonic era.,Fiction;Historical;Classic,4.3,1500,1869,en
The Alchemist,Paulo Coelho,A fable about following oneâ€™s dreams and personal legend.,Fiction;Philosophical,3.9,3400,1988,en
The Da Vinci Code,Dan Brown,A thriller intertwining art history and cryptic mysteries.,Fiction;Thriller;Mystery,3.6,4600,2003,en